login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
gaborcsardi,gaborcsardi/after,2016-06-14T22:33:49Z,14,14,R,True,True,
gaborcsardi,gaborcsardi/alda,2024-04-26T05:01:55Z,0,0,,True,False,Creative Commons Zero v1.0 Universal
gaborcsardi,gaborcsardi/alexr,2015-09-08T20:17:44Z,27,27,R,True,True,Other
gaborcsardi,gaborcsardi/all.primer.tutorials,2022-11-04T12:52:52Z,0,0,HTML,True,True,Other
gaborcsardi,gaborcsardi/altlist,2019-08-30T10:43:12Z,5,5,C,True,True,Other
gaborcsardi,gaborcsardi/argufy,2015-08-10T18:56:23Z,32,32,R,True,True,Other
gaborcsardi,gaborcsardi/ask,2015-05-28T14:04:57Z,20,20,R,True,True,Other
gaborcsardi,gaborcsardi/async,2017-08-11T12:38:17Z,38,38,R,True,True,Other
gaborcsardi,gaborcsardi/autobrew-bundler,2023-11-28T09:52:48Z,0,0,,True,True,
gaborcsardi,gaborcsardi/baguette,2024-08-05T09:26:08Z,0,0,,True,True,Other
gaborcsardi,gaborcsardi/BCEA,2022-07-28T11:38:01Z,0,0,R,True,True,GNU General Public License v3.0
gaborcsardi,gaborcsardi/BH,2022-10-25T16:15:52Z,0,0,,True,False,
gaborcsardi,gaborcsardi/bigrquerystorage,2023-11-28T12:43:20Z,0,0,C++,True,True,Apache License 2.0
gaborcsardi,gaborcsardi/brew-big-sur,2023-11-30T20:58:08Z,0,0,Ruby,True,False,"BSD 2-Clause ""Simplified"" License"
gaborcsardi,gaborcsardi/brokenPackage,2020-12-10T20:08:58Z,0,0,R,True,True,GNU General Public License v3.0
gaborcsardi,gaborcsardi/brulee,2024-08-05T09:28:41Z,0,0,,True,True,Other
gaborcsardi,gaborcsardi/build-r-app,2024-09-30T08:46:47Z,0,0,Shell,True,True,
gaborcsardi,gaborcsardi/butcher,2022-06-10T13:36:13Z,4,4,R,True,True,Other
gaborcsardi,gaborcsardi/censored,2024-08-05T09:32:37Z,0,0,,True,True,Other
gaborcsardi,gaborcsardi/checkinstall,2023-08-12T19:40:01Z,0,0,C,True,True,GNU General Public License v2.0
gaborcsardi,gaborcsardi/cli,2023-05-23T16:25:27Z,0,0,,True,True,Other
gaborcsardi,gaborcsardi/comments,2024-09-08T10:05:15Z,0,0,,True,True,
gaborcsardi,gaborcsardi/covr,2024-04-28T15:12:17Z,0,0,,True,True,Other
gaborcsardi,gaborcsardi/covrlabs,2023-12-19T09:25:09Z,0,0,C,True,True,GNU General Public License v3.0
gaborcsardi,gaborcsardi/cran-metadata,2024-10-12T08:48:36Z,0,0,,True,True,
gaborcsardi,gaborcsardi/csg,2023-08-30T16:52:33Z,0,0,R,True,True,
gaborcsardi,gaborcsardi/css,2021-09-13T09:08:49Z,0,0,,True,True,Other
gaborcsardi,gaborcsardi/curl,2021-08-14T11:27:04Z,0,0,C,True,True,Other
gaborcsardi,gaborcsardi/cv,2023-11-20T16:17:08Z,0,0,HTML,True,True,
gaborcsardi,gaborcsardi/cyclocomp,2023-08-30T07:35:49Z,2,2,R,True,True,Other
amix,amix/AdventKotlin2021,2021-12-02T10:34:00Z,3,3,Kotlin,True,True,
amix,amix/autojump,2010-03-28T11:47:36Z,19,19,Shell,True,True,GNU General Public License v3.0
amix,amix/bcx-api,2015-02-13T11:37:02Z,1,1,,True,True,
amix,amix/Catch,2014-08-25T10:19:31Z,3,3,,True,True,Boost Software License 1.0
amix,amix/demo-redis-python-lua,2015-01-30T20:20:49Z,3,3,Python,True,True,MIT License
amix,amix/halist-app,2023-03-05T19:35:44Z,0,0,,True,True,
amix,amix/iAPM,2010-09-26T14:19:48Z,14,14,Objective-C,True,True,
